sacc;stitle;sscinames
KY355470;Uncultured eukaryote clone QCBR1ZD091 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355472;Uncultured eukaryote clone QCCC1ZE121 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355473;Uncultured eukaryote clone QCCA1ZC031 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355474;Uncultured eukaryote clone QCBT1ZB081 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355478;Uncultured eukaryote clone QCCA3ZH051 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355479;Uncultured eukaryote clone QCBV2ZA021 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355498;Uncultured eukaryote clone QCCA8ZG081 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355499;Uncultured eukaryote clone QCCB1ZE101 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355500;Uncultured eukaryote clone QCBQ1ZB081 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355512;Uncultured eukaryote clone QCBR7ZB061 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355568;Uncultured eukaryote clone QCBR7ZC051 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355573;Uncultured eukaryote clone QCBV2ZA121 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355576;Uncultured eukaryote clone QCCA7ZF091 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355577;Uncultured eukaryote clone QCCC3ZC081 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355605;Uncultured eukaryote clone QCCA3ZH011 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY355606;Uncultured eukaryote clone QCBT1ZB111 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY438797;Pleuronectes environmental sample isolate AA1 cytochrome oxidase subunit I (COI) gene;Pleuronectes environmental sample
KY476711;Uncultured archaeon clone rifcsphigho2_01_scaffold_683_curated genomic sequence;uncultured archaeon
KY553323;Uncultured Spongospora isolate OTU031 small subunit ribosomal RNA gene, partial sequence;uncultured Spongospora
KY553403;Uncultured Spongospora isolate OTU111 small subunit ribosomal RNA gene, partial sequence;uncultured Spongospora
KY553569;Uncultured Spongospora isolate OTU277 small subunit ribosomal RNA gene, partial sequence;uncultured Spongospora
KY554501;Uncultured eukaryote clone CBW_Invert1_1a4_1_RS3E03_18S_M13F_x_E03 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY554516;Uncultured eukaryote clone CBW_Invert1_1a2_1_RL2B04_18S_M13F_x_B04 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY554562;Uncultured eukaryote clone CBW_Invert1_1a2_1_RL2F05_18S_M13F_x_F05 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY554587;Uncultured eukaryote clone CBW_Invert1_1a2_1_RL2H07_18S_M13F_x_H07 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
KY609369;Uncultured bacterium clone CDE13-B3 16S ribosomal RNA gene, partial sequence;uncultured bacterium
KY609389;Uncultured bacterium clone CDE13B27 16S ribosomal RNA gene, partial sequence;uncultured bacterium
KY609409;Uncultured bacterium clone CDE13B88 16S ribosomal RNA gene, partial sequence;uncultured bacterium
KY687510;Uncultured fungus clone GL00005_001_S133 internal transcribed spacer 2 and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687533;Uncultured fungus clone GL00991_015_G2729 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687534;Uncultured fungus clone GL01626_017_S073 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687535;Uncultured fungus clone GL01626_017_G2700 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687547;Uncultured fungus clone GL02247_025_S086 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687623;Uncultured fungus clone GL07126_071_G2748 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687635;Uncultured fungus clone GL08684_082_S079 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687636;Uncultured fungus clone GL08684_082_S080 internal transcribed spacer 2 and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687657;Uncultured fungus clone GL09833_096_S189 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687658;Uncultured fungus clone GL09833_096_G2846 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687659;Uncultured fungus clone GL09833_096_G3224 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687667;Uncultured fungus clone GL11329_101_G2641 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687695;Uncultured fungus clone GL16010_119_S086 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687696;Uncultured fungus clone GL16943_119_G2846 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687698;Uncultured fungus clone GL16943_119_G2834 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687719;Uncultured fungus clone GL19613_136_G2747 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687776;Uncultured fungus clone GL29348_179_G2700 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687837;Uncultured fungus clone GL43114_214_G2643 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687838;Uncultured fungus clone GL43114_214_G2645 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY687839;Uncultured fungus clone GL43114_214_G2647 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY690198;Uncultured eukaryote clone 22 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690199;Uncultured eukaryote clone 23 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690217;Uncultured eukaryote clone 41 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690222;Uncultured eukaryote clone 46 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690230;Uncultured eukaryote clone 54 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690233;Uncultured eukaryote clone 57 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690244;Uncultured eukaryote clone 68 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690253;Uncultured eukaryote clone 77 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690262;Uncultured eukaryote clone 86 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690283;Uncultured eukaryote clone 107 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690288;Uncultured eukaryote clone 112 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690309;Uncultured eukaryote clone 133 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690311;Uncultured eukaryote clone 135 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690346;Uncultured eukaryote clone 170 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690348;Uncultured eukaryote clone 172 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690393;Uncultured eukaryote clone 217 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690401;Uncultured eukaryote clone 225 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690402;Uncultured eukaryote clone 226 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690423;Uncultured eukaryote clone 247 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690434;Uncultured eukaryote clone 258 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690437;Uncultured eukaryote clone 261 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690441;Uncultured eukaryote clone 265 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY690448;Uncultured eukaryote clone 272 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured eukaryote
KY817211;Uncultured Skeletonema clone st1-ske-1 small subunit ribosomal RNA gene, partial sequence;uncultured Skeletonema
KY817212;Uncultured Skeletonema clone st1-ske-2 small subunit ribosomal RNA gene, partial sequence;uncultured Skeletonema
KY817213;Uncultured Skeletonema clone st1-ske-3 small subunit ribosomal RNA gene, partial sequence;uncultured Skeletonema
KY817214;Uncultured Skeletonema clone st1-ske-4 small subunit ribosomal RNA gene, partial sequence;uncultured Skeletonema
KY817215;Uncultured Skeletonema clone st1-ske-5 small subunit ribosomal RNA gene, partial sequence;uncultured Skeletonema
KY817216;Uncultured Skeletonema clone st1-ske-6 small subunit ribosomal RNA gene, partial sequence;uncultured Skeletonema
KY990428;Uncultured Basidiomycota isolate SD-7 small subunit ribosomal RNA gene, partial sequence;uncultured Basidiomycota
KY990443;Uncultured Ascomycota isolate SD-22 small subunit ribosomal RNA gene, partial sequence;uncultured Ascomycota
KY990998;Uncultured fungus clone xF2CL83 internal transcribed spacer 1, partial sequence 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured fungus
KY991022;Uncultured Aphelidea clone F4CL63 internal transcribed spacer 1, partial sequence 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence;uncultured Aphelidea
KY991030;Cercomonadida environmental sample clone C3CL103 18S ribosomal RNA gene, partial sequence;Cercomonadida environmental sample
KY991036;Uncultured Vampyrellida clone C3CL111 18S ribosomal RNA gene, partial sequence;uncultured Vampyrellida
KY991038;Uncultured Thecofilosea clone C4CL113 18S ribosomal RNA gene, partial sequence;uncultured Thecofilosea
KY991052;Uncultured Cercozoa clone C1CL72 18S ribosomal RNA gene, partial sequence;uncultured Cercozoa
KY991059;Uncultured Cercozoa clone C12CL65 18S ribosomal RNA gene, partial sequence;uncultured Cercozoa
KY991063;Uncultured Thecofilosea clone C2CL89 18S ribosomal RNA gene, partial sequence;uncultured Thecofilosea
L38642;Gymnodinium catenatum 24S ribosomal RNA (24S rRNA) pseudogene;Gymnodinium catenatum
LC000674;Uncultured chrysophyte gene for 18S ribosomal RNA, partial sequence, clone: Pa-St.6-16;uncultured Chrysophyceae
LC002556;Uncultured beta proteobacterium gene for 16S ribosomal RNA, partial sequence, clone: 12Sz10-54;uncultured beta proteobacterium
LC013353;Uncultured Auricularia genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, isolate: 1_Y294;uncultured Auricularia
LC017442;Uncultured microorganism gene for 16S ribosomal RNA, partial sequence, clone: EDay42C-CL73;uncultured microorganism
LC027978;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 44_cytBB2;Phlebotomus perniciosus
LC027980;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 45_cytBB2;Phlebotomus perniciosus
LC027987;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 9_cytBB2;Phlebotomus perniciosus
LC027988;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 8_cytBB1;Phlebotomus perniciosus
LC027994;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 25_cytBB1;Phlebotomus perniciosus
LC027999;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 18_cytBB1;Phlebotomus perniciosus
LC028000;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 26_cytBB1;Phlebotomus perniciosus
LC028001;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 12_cytBB2;Phlebotomus perniciosus
LC028002;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 20_cytBB2;Phlebotomus perniciosus
LC028005;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 27_cytBB1;Phlebotomus perniciosus
LC028009;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 12_cytBB1;Phlebotomus perniciosus
LC028012;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 21_cytBB1;Phlebotomus perniciosus
LC028016;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 22_cytBB1;Phlebotomus perniciosus
LC028017;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 24_cytBB2;Phlebotomus perniciosus
LC028019;Phlebotomus ariasi mitochondrial cytB gene for cytochrome b, partial cds, isolate: 25_cytBB2;Phlebotomus ariasi
LC028020;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 16_cytBB1;Phlebotomus perniciosus
LC028021;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 24_cytBB1;Phlebotomus perniciosus
LC028022;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 18_cytBB2;Phlebotomus perniciosus
LC028023;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds, isolate: 26_cytBB2;Phlebotomus perniciosus
LC034063;Uncultured eukaryote gene for ITS1, partial sequence, note: Seq43;uncultured eukaryote
LC034064;Uncultured eukaryote gene for ITS1, partial sequence, note: Seq43;uncultured eukaryote
LC034066;Uncultured eukaryote gene for ITS1, partial sequence, note: Seq43;uncultured eukaryote
LC034068;Uncultured eukaryote gene for ITS1, partial sequence, note: Seq48;uncultured eukaryote
LC109030;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AD_Kclone12;uncultured eukaryote
LC109061;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AD_S13clone35;uncultured eukaryote
LC109063;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AD_S13clone23;uncultured eukaryote
LC109080;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AD_S13clone16;uncultured eukaryote
LC109087;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AD_S14clone12;uncultured eukaryote
LC109089;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AD_S14clone43;uncultured eukaryote
LC109097;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AD_S14clone27;uncultured eukaryote
LC109101;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: AD_S14clone49;uncultured eukaryote
LC137861;Uncultured diatom mitochondrial COI gene for cytochrome c oxidase subunit I, partial cds, clone: Okd04;uncultured diatom
LC149833;Uncultured Debaryomyces gene for 18S ribosomal RNA, partial sequence, clone: D1;uncultured Debaryomyces
LC149834;Uncultured Debaryomyces gene for 18S ribosomal RNA, partial sequence, clone: D2;uncultured Debaryomyces
LC149835;Uncultured Debaryomyces gene for 18S ribosomal RNA, partial sequence, clone: D3;uncultured Debaryomyces
LC149839;Uncultured Debaryomyces gene for 18S ribosomal RNA, partial sequence, clone: E4;uncultured Debaryomyces
LC149840;Uncultured Debaryomyces gene for 18S ribosomal RNA, partial sequence, clone: F1;uncultured Debaryomyces
LC149843;Uncultured Debaryomyces gene for 18S ribosomal RNA, partial sequence, clone: F4;uncultured Debaryomyces
LC150048;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: AS_seed_1;uncultured eukaryote
LC150054;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: AS_seed_7;uncultured eukaryote
LC150059;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: AS_seed_12;uncultured eukaryote
LC150076;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: AS_seed_29;uncultured eukaryote
LC150077;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: AS_seed_30;uncultured eukaryote
LC150078;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: AS_seed_31;uncultured eukaryote
LC150082;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: Ngk_seed-8_1;uncultured eukaryote
LC150092;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: Ngk_seed-8_11;uncultured eukaryote
LC150128;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: A21_ek_16;uncultured eukaryote
LC150139;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: A21_ek_27;uncultured eukaryote
LC150149;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: B21_ek_7;uncultured eukaryote
LC150153;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: B21_ek_11;uncultured eukaryote
LC150165;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: B21_ek_25;uncultured eukaryote
LC150185;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: A21_ps_13;uncultured eukaryote
LC165021;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: 138ME;uncultured eukaryote
LC165028;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: 42AE;uncultured eukaryote
LC165032;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: 3AE;uncultured eukaryote
LC165036;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: 12AE;uncultured eukaryote
LC165041;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: 10AE;uncultured eukaryote
LC165043;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: 126OE;uncultured eukaryote
LC165085;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: 90MH;uncultured eukaryote
LC165090;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: 40DH;uncultured eukaryote
LC165091;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: 18DH;uncultured eukaryote
LC165108;Uncultured eukaryote gene for 18S rRNA, partial sequence, clone: G27AE;uncultured eukaryote
LC191148;Uncultured Cryptophyta gene for 18S rRNA, partial sequence, OTU:159_r;uncultured Cryptophyta
LC191149;Uncultured Cryptophyta gene for 18S rRNA, partial sequence, OTU:160_r;uncultured Cryptophyta
LC191151;Uncultured Cryptophyta gene for 18S rRNA, partial sequence, OTU:162_r;uncultured Cryptophyta
LC191178;Uncultured picobiliphyte gene for 18S rRNA, partial sequence, OTU:189_r;uncultured picobiliphyte
LC220936;Uncultured fungus gene for 18S rRNA, partial sequence, clone: UN1S00a_16F;uncultured fungus
LC221023;Uncultured fungus gene for 18S rRNA, partial sequence, clone: MM1S08_18;uncultured fungus
LC222853;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: OD_euk_6;uncultured eukaryote
LC222861;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: OD_euk_15;uncultured eukaryote
LC222872;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: HRT6hrs_A1_euk_6;uncultured eukaryote
LC222906;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: HRT6hrs_A5_euk_19;uncultured eukaryote
LC222918;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: HRT6hrs_A5_euk_32;uncultured eukaryote
LC222935;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: HRT3hrs_A1_euk_6;uncultured eukaryote
LC222968;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: HRT6hrs_A1_pssu_1;uncultured eukaryote
LC222976;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: HRT6hrs_A5_pssu_4;uncultured eukaryote
LC222991;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: HRT3hrs_A1_pssu_5;uncultured eukaryote
LC222996;Uncultured eukaryote gene for 18S ribosomal RNA, partial sequence, clone: HRT3hrs_A5_pssu_4;uncultured eukaryote
LC233143;Uncultured prokaryote nifH gene for nitrogenase, partial cds, OTU:M01935:38:000000000-A93EN:1:1106:11781:9267;uncultured prokaryote
LC259100;Uncultured marine cryptophyte gene for 28S rRNA, partial sequence, clone: A13;uncultured marine cryptophyte
LC325858;Uncultured eukaryote Pm-D2 nucleomorph gene for 18S ribosomal RNA, partial sequence;uncultured eukaryote
LC365170;Uncultured fungus CL19-36-F gene for 18S rRNA, partial sequence;uncultured fungus
LC365212;Uncultured fungus CL27-12-F gene for 18S rRNA, partial sequence;uncultured fungus
LC365244;Uncultured fungus CL45-53 gene for 18S rRNA, partial sequence;uncultured fungus
LC365277;Uncultured fungus CL49-38 gene for 18S rRNA, partial sequence;uncultured fungus
LC369099;Uncultured Aphanomyces Mz_09 genes for 5.8S rRNA, ITS2, 28S rRNA, partial sequence;uncultured Aphanomyces
LC371032;Uncultured diatom A4CML05 gene for 18S rRNA, partial sequence;uncultured diatom
LC371034;Uncultured diatom A4CML09 gene for 18S rRNA, partial sequence;uncultured diatom
LC371037;Uncultured diatom A4CML28 gene for 18S rRNA, partial sequence;uncultured diatom
LC424403;Hexasterias problematica KC38_KC40_KC41 gene for 18S ribosomal RNA, partial sequence;Hexasterias problematica
LC489004;Uncultured eukaryote YK1E-007 gene for 18S ribosomal RNA, partial sequence;uncultured eukaryote
LCO028020;Phlebotomus perniciosus mitochondrial cytB gene for cytochrome b, partial cds;Phlebotomus perniciosus
LM463828;Parascaris equorum genome assembly, scaffold PEQ_contig0000001;Parascaris equorum
LM463828;Parascaris equorum genome assembly, scaffold: PEQ_contig0000001;Parascaris equorum
LN575214;Uncultured eukaryote partial 18S rRNA gene, clone SIGB1089_N11D1_16S_A;uncultured eukaryote
LN575470;Uncultured eukaryote partial 18S rRNA gene, clone SIGB650_N11D1_16S_A;uncultured eukaryote
LN575578;Uncultured eukaryote partial 18S rRNA gene, clone SIGB914_N11D1_16S_A;uncultured eukaryote
LN575797;Uncultured eukaryote partial 18S rRNA gene, clone SIGF1570_N11D1_18S_E;uncultured eukaryote
LN575900;Uncultured eukaryote partial 18S rRNA gene, clone SIGF1868_N11D1_18S_E;uncultured eukaryote
LN575901;Uncultured eukaryote partial 18S rRNA gene, clone SIGF1870_N11D1_18S_E;uncultured eukaryote
LN575965;Uncultured eukaryote partial 18S rRNA gene, clone SIGF2031_N11D1_18S_E;uncultured eukaryote
LN576098;Uncultured eukaryote partial 18S rRNA gene, clone SIGF490_N11D1_18S_E;uncultured eukaryote
LN576990;Uncultured eukaryote partial 18S rRNA gene, clone SIBY1053_N11D3_16S_A;uncultured eukaryote
LN577096;Uncultured eukaryote partial 18S rRNA gene, clone SIBY1392_N11D3_16S_A;uncultured eukaryote
LN577098;Uncultured eukaryote partial 18S rRNA gene, clone SIBY1399_N11D3_16S_A;uncultured eukaryote
LN577314;Uncultured eukaryote partial 18S rRNA gene, clone SICA1093_N11D3_18S_E;uncultured eukaryote
LN577332;Uncultured eukaryote partial 18S rRNA gene, clone SICA1172_N11D3_18S_E;uncultured eukaryote
LN577365;Uncultured eukaryote partial 18S rRNA gene, clone SICA1312_N11D3_18S_E;uncultured eukaryote
LN577419;Uncultured eukaryote partial 18S rRNA gene, clone SICA1476_N11D3_18S_E;uncultured eukaryote
LN577439;Uncultured eukaryote partial 18S rRNA gene, clone SICA416_N11D3_18S_E;uncultured eukaryote
LN577568;Uncultured eukaryote partial 18S rRNA gene, clone SIOB1033_N11D4_18S_E;uncultured eukaryote
LN577782;Uncultured eukaryote partial 18S rRNA gene, clone SIOB411_N11D4_18S_E;uncultured eukaryote
LN577949;Uncultured eukaryote partial 18S rRNA gene, clone SIOB852_N11D4_18S_E;uncultured eukaryote
LN577989;Uncultured eukaryote partial 18S rRNA gene, clone SIOB953_N11D4_18S_E;uncultured eukaryote
LN581065;Uncultured eukaryote partial 18S rRNA gene, clone SIBO1319_N12D1_18S_E;uncultured eukaryote
LN581240;Uncultured eukaryote partial 18S rRNA gene, clone SIBO691_N12D1_18S_E;uncultured eukaryote
LN581995;Uncultured eukaryote partial 18S rRNA gene, clone SIBH1202_N12D2_18S_E;uncultured eukaryote
LN582899;Uncultured eukaryote partial 18S rRNA gene, clone SICZ605_N12D4_16S_A;uncultured eukaryote
LN583183;Uncultured eukaryote partial 18S rRNA gene, clone SIFB511_N12D4_18S_E;uncultured eukaryote
LN586810;Uncultured eukaryote partial 18S rRNA gene, clone SICU1068_N9D2_18S_E;uncultured eukaryote
LN586853;Uncultured eukaryote partial 18S rRNA gene, clone SICU408_N9D2_18S_E;uncultured eukaryote
LN586860;Uncultured eukaryote partial 18S rRNA gene, clone SICU425_N9D2_18S_E;uncultured eukaryote
LN587011;Uncultured eukaryote partial 18S rRNA gene, clone SICU771_N9D2_18S_E;uncultured eukaryote
LN587531;Uncultured eukaryote partial 18S rRNA gene, clone SICY705_N9D3_18S_E;uncultured eukaryote
LN587592;Uncultured eukaryote partial 18S rRNA gene, clone SICY968_N9D3_18S_E;uncultured eukaryote
LN587886;Uncultured eukaryote partial 18S rRNA gene, clone SIFG594_N9D4_18S_E;uncultured eukaryote
LN588025;Uncultured eukaryote partial 18S rRNA gene, clone SIGY1076_N9D4_18S_E;uncultured eukaryote
LN588277;Uncultured eukaryote partial 18S rRNA gene, clone SIGY706_N9D4_18S_E;uncultured eukaryote
